Time: Sun, 07 Jun 2020 15:36:52 GMT
Connecting to host 192.168.53.100, port 5203
	Subflow 5:
		 ip src: 10.54.0.20 src port: 49855
		 ip dst: 192.168.53.100 dst port: 5203
	Subflow 4:
		 ip src: 10.53.0.20 src port: 45564
		 ip dst: 192.168.53.100 dst port: 5203
	Subflow 3:
		 ip src: 10.0.2.15 src port: 52042
		 ip dst: 192.168.53.100 dst port: 5203
	Subflow 2:
		 ip src: 192.168.54.10 src port: 59864
		 ip dst: 192.168.53.100 dst port: 5203
	Subflow 1:
		 ip src: 192.168.53.10 src port: 33426
		 ip dst: 192.168.53.100 dst port: 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  1]  36.03-37.03  sec   155 KBytes  1.27 Mbits/sec    0   61.4 KBytes       
[  2]  37.03-38.03  sec   165 KBytes  1.35 Mbits/sec    0   62.8 KBytes       
[  1]  37.03-38.03  sec   131 KBytes  1.07 Mbits/sec    0   62.8 KBytes       
[  2]  38.03-39.03  sec   145 KBytes  1.19 Mbits/sec    0   66.9 KBytes       
[  1]  38.03-39.03  sec  87.9 KBytes   720 Kbits/sec    3   44.6 KBytes       
[  2]  39.03-40.03  sec   165 KBytes  1.35 Mbits/sec    0   75.3 KBytes       
[  1]  39.03-40.03  sec   191 KBytes  1.57 Mbits/sec    0   57.2 KBytes       
[  2]  40.03-41.03  sec   134 KBytes  1.10 Mbits/sec    3   71.1 KBytes       
[  1]  40.03-41.03  sec   131 KBytes  1.07 Mbits/sec    0   62.8 KBytes       
[  2]  41.03-42.03  sec   223 KBytes  1.83 Mbits/sec    4   66.9 KBytes       
[  1]  41.03-42.03  sec   156 KBytes  1.28 Mbits/sec    1   50.2 KBytes       
[  2]  42.03-43.03  sec   173 KBytes  1.42 Mbits/sec    0   79.5 KBytes       
[  1]  42.03-43.03  sec   138 KBytes  1.13 Mbits/sec    0   58.6 KBytes       
[  2]  43.03-44.03  sec   181 KBytes  1.49 Mbits/sec    2   57.2 KBytes       
[  1]  43.03-44.03  sec   149 KBytes  1.22 Mbits/sec    0   64.1 KBytes       
[  2]  44.03-45.03  sec   178 KBytes  1.46 Mbits/sec    0   65.5 KBytes       
[  1]  44.03-45.03  sec   159 KBytes  1.30 Mbits/sec    0   64.1 KBytes       
[  2]  45.03-46.03  sec   165 KBytes  1.35 Mbits/sec    0   68.3 KBytes       
[  1]  45.03-46.03  sec   142 KBytes  1.16 Mbits/sec    1   51.6 KBytes       
[  2]  46.03-47.03  sec   176 KBytes  1.44 Mbits/sec    0   68.3 KBytes       
[  1]  46.03-47.03  sec   146 KBytes  1.20 Mbits/sec    0   58.6 KBytes       
[  2]  47.03-48.03  sec   172 KBytes  1.40 Mbits/sec    0   69.7 KBytes       
[  1]  47.03-48.03  sec   139 KBytes  1.14 Mbits/sec    0   64.1 KBytes       
[  2]  48.03-49.03  sec   163 KBytes  1.34 Mbits/sec    0   73.9 KBytes       
[  1]  48.03-49.03  sec   137 KBytes  1.12 Mbits/sec    2   53.0 KBytes       
[  2]  49.03-50.03  sec   180 KBytes  1.47 Mbits/sec    0   83.7 KBytes       
[  1]  49.03-50.03  sec   113 KBytes   926 Kbits/sec    2   54.4 KBytes       
[  2]  50.03-51.03  sec   162 KBytes  1.33 Mbits/sec    5   62.8 KBytes       
[  1]  50.03-51.03  sec   145 KBytes  1.19 Mbits/sec    0   47.4 KBytes       
[  2]  51.03-52.03  sec   220 KBytes  1.81 Mbits/sec    0   75.3 KBytes       
[  1]  51.03-52.03  sec   120 KBytes   983 Kbits/sec    0   50.2 KBytes       
