netannounce: binding socket to local addr
got scheduler:  return = 0 
-----------------------------------------------------------
Server listening on 5202
-----------------------------------------------------------
Server accepts new client
Time: Sun, 07 Jun 2020 15:50:34 GMT
Accepted connection from 192.168.53.10, port 38052
[ ID] Interval           Transfer     Bandwidth
[  2]  98.00-99.00  sec   152 KBytes  1.25 Mbits/sec                  
[  1]  99.00-100.00 sec  76.7 KBytes   628 Kbits/sec                  
[  2]  99.00-100.00 sec   117 KBytes   958 Kbits/sec                  
[  1] 100.00-101.00 sec   145 KBytes  1.19 Mbits/sec                  
[  2] 100.00-101.00 sec  75.3 KBytes   618 Kbits/sec                  
[  1] 101.00-102.00 sec   113 KBytes   925 Kbits/sec                  
[  2] 101.00-102.00 sec   156 KBytes  1.28 Mbits/sec                  
[  1] 102.00-103.00 sec   116 KBytes   948 Kbits/sec                  
[  2] 102.00-103.00 sec   126 KBytes  1.03 Mbits/sec                  
[  1] 103.00-104.00 sec   120 KBytes   983 Kbits/sec                  
[  2] 103.00-104.00 sec   112 KBytes   914 Kbits/sec                  
[  1] 104.00-105.00 sec   112 KBytes   914 Kbits/sec                  
[  2] 104.00-105.00 sec   114 KBytes   937 Kbits/sec                  
[  1] 105.00-106.00 sec   121 KBytes   994 Kbits/sec                  
[  2] 105.00-106.00 sec   120 KBytes   982 Kbits/sec                  
[  1] 106.00-107.00 sec   109 KBytes   891 Kbits/sec                  
[  2] 106.00-107.00 sec  97.6 KBytes   800 Kbits/sec                  
[  1] 107.00-108.00 sec   107 KBytes   880 Kbits/sec                  
[  2] 107.00-108.00 sec   120 KBytes   982 Kbits/sec                  
[  1] 108.00-109.00 sec   120 KBytes   982 Kbits/sec                  
[  2] 108.00-109.00 sec  76.7 KBytes   628 Kbits/sec                  
[  1] 109.00-110.00 sec   103 KBytes   845 Kbits/sec                  
[  2] 109.00-110.00 sec   163 KBytes  1.34 Mbits/sec                  
[  1] 110.00-111.00 sec   105 KBytes   857 Kbits/sec                  
[  2] 110.00-111.00 sec   103 KBytes   845 Kbits/sec                  
[  1] 111.00-112.00 sec   109 KBytes   892 Kbits/sec                  
[  2] 111.00-112.00 sec   142 KBytes  1.17 Mbits/sec                  
[  1] 112.00-113.00 sec   102 KBytes   834 Kbits/sec                  
[  2] 112.00-113.00 sec   121 KBytes   994 Kbits/sec                  
[  1] 113.00-114.00 sec   120 KBytes   982 Kbits/sec                  
[  2] 113.00-114.00 sec   139 KBytes  1.14 Mbits/sec                  
[  1] 114.00-115.00 sec   107 KBytes   880 Kbits/sec                  
[  2] 114.00-115.00 sec  69.7 KBytes   571 Kbits/sec                  
[  1] 115.00-116.00 sec   184 KBytes  1.51 Mbits/sec                  
[  2] 115.00-116.00 sec   167 KBytes  1.37 Mbits/sec                  
[  1] 116.00-117.00 sec   105 KBytes   857 Kbits/sec                  
